dataset,parameter_modified,parameter_value1,parameter_value2,total_cost,execution_time,is_feasible,error
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.8,0.8,944.5259329941184,50.573729038238525,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.8,0.9,934.788724479574,55.914255142211914,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.8,1.0,924.3073050805937,50.71997594833374,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.8,1.1,920.0554456837556,52.974623918533325,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.8,1.2,916.5687086033952,58.523540019989014,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.9,0.8,934.7887636544953,50.999847173690796,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.9,0.9,934.7887427549691,69.6817090511322,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.9,1.0,924.3073239314025,45.81610608100891,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.9,1.1,920.0555355665814,44.08780097961426,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,0.9,1.2,916.5687122876444,53.974143981933594,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,1.0,0.8,790.3068563098525,7.6343910694122314,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,1.0,0.9,785.3283273067192,6.983774900436401,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,1.0,1.0,784.5711329333936,9.253409624099731,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,1.0,1.1,783.819261589123,8.302448272705078,True,
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,vehicle_capacity,1.0,1.2,780.7806778202497,10.410315990447998,True,
